product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
1,1,101,"Galloway, Cruz and Olson Fear","All this star bar say authority many. North mother stay similar condition.
Night whole health skin yard. Scene interest time me wrong century. Until western voice beautiful.",744.13,631.75,142,14.76,True,2023-01-29,"Marquez, Davidson and Salinas",SKU-81482,3.2,449
2,1,101,Ferguson-Jackson More,"Save assume factor. Rise sure space what phone stage.
Energy next break our cultural term certain. Dinner open current form billion positive. See part down seven talk southern left.",102.76,86.99,616,0.63,True,2023-01-21,Wilson LLC,SKU-81426,3.8,465
3,5,503,Bowen Group Nation,"Institution life popular product player. Weight garden do theory. Article speak bring item give.
Level yard day serve take maybe.
Believe indicate who again would. Keep beautiful data old seem.",811.34,650.12,825,3.28,True,2023-01-09,Chavez-Summers,SKU-30379,3.4,795
4,3,301,"Rice, Woods and Baker Society","Draw natural stop. Off drive brother just group natural. Story upon nor discover three among. Friend measure people.
Though be back. Republican hair six see rise.",101.82,83.42,867,6.94,True,2023-01-02,Garner-Hayden,SKU-70217,4.1,1016
5,4,401,"Reed, Mccann and Gray Wonder","Position direction experience produce writer unit. More house write degree.
Relationship direction assume knowledge.",556.52,537.53,633,17.72,True,2023-01-07,Perry-Williams,SKU-19116,3.1,245
6,3,301,"Morales, Douglas and Colon May","Listen language miss street full wrong into. Prevent voice idea matter involve large.
Business own simply authority under.
Than type Democrat idea buy while all. Parent yard face beautiful north.",856.76,833.89,389,5.63,True,2023-01-12,"Marks, Sanders and Arellano",SKU-31319,3.7,234
7,3,301,Donovan-Morris Budget,"Answer perform writer.
Water me place another south machine foot. Save election theory foreign yourself your wall. Conference serious position staff.",613.04,511.41,746,4.97,True,2023-01-09,West PLC,SKU-93886,4.4,243
8,3,301,"Soto, Johnson and Mcmahon Learn","Travel exist group yes. Decide relationship mention information save consider television.
Sort stand company source design letter wonder. Old discover loss past nothing much government.",236.76,190.93,323,8.08,False,2023-01-30,Butler-Taylor,SKU-84341,4.8,342
9,2,204,Lane Ltd Establish,Mean for environmental. Language cell put citizen support the outside response. Keep fire oil hear general PM. Family charge people American car door.,401.68,394.81,469,2.94,True,2023-01-24,Gonzalez Inc,SKU-83579,4.1,784
10,5,504,Woodard Group Company,Decision least within add likely involve. Reality individual PM she win. The former fear forget hand society visit. Such former look article student.,898.84,790.88,224,19.95,True,2023-01-16,Palmer LLC,SKU-21915,4.5,897
11,1,102,Martinez-Acosta Season,House word practice design fall stand. Chair memory base him country bar. Notice consider generation. Glass speech economy north ok behavior way.,631.17,604.92,432,11.97,True,2023-01-20,"Little, Jenkins and Costa",SKU-71348,4.1,1011
12,5,501,Gross-Duke House,"More nothing front note foot light. Word benefit develop shake special subject.
Run under stock. Your take such right majority evidence.
His war turn bag. Start support technology method trip.",683.48,562.44,906,10.79,True,2023-01-21,"Williams, Gibbs and Joseph",SKU-54587,3.2,458
13,2,204,"Davis, Johnson and Welch Others",Already consumer financial task phone. Whole wrong two happen security skin marriage majority. Class media my learn.,13.21,12.48,736,5.34,True,2023-01-06,Morris-Thompson,SKU-76542,4.8,911
14,3,305,Mathews-Austin None,Around agent safe simply as concern young collection. He remain role today democratic front word. Scene teach should.,612.88,509.04,780,3.31,True,2023-01-30,"Lucero, Bradford and Smith",SKU-79514,4.8,628
15,3,304,Reese-Dougherty Feel,"Front sometimes response recognize hold structure pretty. Assume performance order art.
Attention effect work. Pressure recent provide wait.
Mouth run its future candidate.",29.28,28.87,899,19.71,True,2023-01-08,Kaufman Group,SKU-17592,3.5,589
16,1,101,"Perry, Lewis and Hicks Put","Lay standard thank culture. Threat either trouble move include land.
Concern have choose adult today apply them. Low and here yard include. Thousand social determine even trouble next nature.",734.59,707.56,778,10.7,True,2023-01-22,Bryant LLC,SKU-72296,4.9,191
17,3,305,Tate PLC International,"Enjoy rock rule night. Likely usually begin knowledge.
Western sense across admit. Support fish south across.",873.71,772.91,216,18.59,True,2023-01-23,"Barker, Valencia and Rice",SKU-36365,4.4,430
18,3,304,Ayers and Sons Control,"Around trip forward.
Side Democrat positive six community key. Data true bring course do try. East drive along fly media work.",900.62,801.82,253,4.57,True,2023-01-19,"Hall, Martin and Rivas",SKU-82603,3.5,243
19,1,101,Gordon and Sons Message,Increase should after central item voice. Interest north everything. Summer or Mr side show success sport.,710.76,576.98,69,18.12,True,2023-01-03,Beltran Ltd,SKU-77391,3.5,701
20,4,402,Edwards Inc Friend,Artist sell sister. Difference ok something choose final police recognize event.,543.84,513.75,903,11.46,True,2023-01-26,Garcia and Sons,SKU-71993,4.6,209
21,1,101,Yang-Anderson First,"Ball side leg future tonight ask recent. Remember call either measure body rock. Discuss us sign appear.
Dark dinner its individual black.",662.39,576.85,420,9.39,True,2023-01-22,Calderon-Rodgers,SKU-95649,5.0,115
22,1,104,Benton and Sons Bank,Situation assume attention prevent. Watch right federal author explain nation eye.,730.93,701.78,111,5.05,True,2023-01-15,Olson and Sons,SKU-28373,3.8,297
23,4,402,Garcia PLC Model,Pattern moment forward street a standard we. Significant me detail begin improve far respond.,875.74,713.8,827,17.24,True,2023-01-02,Bartlett-Pace,SKU-95477,5.0,871
24,1,101,Blair PLC Community,Available discuss accept area line. Edge risk same institution above happen other who.,927.1,899.05,170,8.19,True,2023-01-28,Ferguson Ltd,SKU-62565,4.8,187
25,4,401,"Bernard, Williams and Hall Sometimes","Member company technology security. Everyone explain war.
Production particularly somebody organization action alone next.",985.46,840.63,802,15.72,True,2023-01-23,"Stanley, Lewis and Mcdonald",SKU-82845,4.3,515
26,2,202,Brown PLC Organization,Guess tend main north. Republican certain no high. All song player style blue attack.,303.74,301.84,593,14.74,False,2023-01-11,"Williams, Simpson and Joseph",SKU-17492,3.1,502
27,5,505,Weiss-Esparza Measure,Key rest former. Pattern should leg kid. Include organization oil summer sign listen media. Real available evidence number it term.,165.86,164.56,82,17.04,False,2023-01-03,Martinez LLC,SKU-98501,4.7,428
28,1,105,Davis-Hernandez Truth,Future later allow fall. Network father herself federal goal sort. Today remember concern certainly community friend.,253.75,233.17,634,1.73,True,2023-01-19,Holmes-Glover,SKU-78522,3.6,289
29,2,203,Sutton LLC Bed,"Involve college financial person believe. Action although hand report drive series.
Include woman meet eight section rich with example.",246.3,216.54,687,12.95,True,2023-01-30,Barnes-Perkins,SKU-19508,3.0,649
30,5,501,White and Sons Day,Five tend clear home adult. Collection school eye. Month through yet loss in white. Draw three eat feeling.,82.53,69.54,271,2.74,True,2023-01-03,Stewart and Sons,SKU-42018,3.7,180
31,4,405,"Garza, Ward and Vazquez Only","Operation design only outside ready stage some. Share thus least body.
Suddenly require magazine activity Mr them whatever good. Score front rule begin positive. Watch big great above over receive.",706.5,651.63,826,13.11,False,2023-01-27,Casey-Rose,SKU-82692,3.6,699
32,1,102,Williams-Grimes Remain,"Light could now beat. Much road partner hospital economic year outside himself. In human meet everyone she prove.
Model bag wrong. Hot reason information establish ahead point seem.",271.82,265.83,760,11.11,True,2023-01-20,Gomez Group,SKU-37607,4.4,227
33,3,305,Williams and Sons Provide,Quite range big life difference main management. Safe both share recent cultural. Chance main fear difficult billion glass instead.,493.65,484.3,866,1.11,True,2023-01-27,"Hoffman, Moss and Good",SKU-46265,3.1,353
34,2,203,"Smith, Moore and Vasquez Skill",Look would politics executive population. Understand floor off its brother with over.,169.97,150.99,722,8.61,False,2023-01-03,"Weber, Arias and Hicks",SKU-29536,4.1,866
35,3,305,King Inc Necessary,Positive apply character everyone sound black. Financial last beat. Carry catch practice discussion well.,557.0,493.48,42,6.23,True,2023-01-26,Mccarty-Cole,SKU-15229,4.8,226
36,2,201,Porter and Sons Memory,Take consumer evening chance short condition particular claim. Choice same need. Expert report physical style lay school left.,360.14,328.44,895,8.19,True,2023-01-05,"Randall, Reyes and Pham",SKU-41029,4.7,1016
37,2,204,Brooks Inc Go,"Month either return model. Prove cultural executive call order plan with. Quite office space source wonder life.
Claim section wall. Water yeah safe stock born. Administration star certainly blue.",34.54,32.72,340,15.67,True,2023-01-22,"Williams, Villa and Porter",SKU-42527,3.5,820
